eeg-P3,eeg-C3,eeg-F3,eeg-Fz,eeg-F4,eeg-C4,eeg-P4,eeg-Cz,eeg-CM,eeg-A1,eeg-Fp1,eeg-Fp2,eeg-T3,eeg-T5,eeg-O1,eeg-O2,eeg-F7,eeg-F8,eeg-X1:ECG,eeg-A2,eeg-T6,eeg-T4,eeg-TRG,timestamp
-7320.0,-6107.669921875,-6649.9443359375,-6569.6767578125,9024.5537109375,7141.134765625,6484.671875,-3850.8662109375,22996.228515625,-5806.0087890625,-8569.990234375,-8027.57861328125,-7376.7333984375,-6563.994140625,-8450.4150390625,3421.232666015625,-8085.1728515625,8823.6142578125,-6.599999904632568,5144.20947265625,6720.23095703125,7274.6533203125,0.0,2025-06-10T20:24:32.586277
-9830.400390625,-9837.599609375,-9816.0,-9864.599609375,9834.2998046875,9847.7998046875,9834.0,-6161.74658203125,25609.435546875,-9825.0,-9795.2998046875,-9791.099609375,-9856.5,-9850.2001953125,-9838.7998046875,9819.0,-9841.2001953125,9821.1005859375,-6.599999904632568,9855.599609375,9866.9990234375,9847.4990234375,0.0,2025-06-10T20:24:32.589610
-7843.7998046875,-8561.0654296875,-8218.7431640625,-9046.0625,4757.03173828125,7306.431640625,7385.62890625,-4079.61279296875,3882.47998046875,-4530.2099609375,-7237.06689453125,-4298.24755859375,-7287.69775390625,-8150.88427734375,-4054.061279296875,8184.64794921875,-7251.75830078125,8094.98193359375,-6.900000095367432,2577.368408203125,7911.787109375,7703.81201171875,0.0,2025-06-10T20:24:32.592943
8724.0,7683.5234375,8238.8134765625,7075.73095703125,-9834.599609375,-9286.390625,-8985.5634765625,4835.19677734375,-36958.22265625,9824.7001953125,9795.0009765625,9790.80078125,9395.37890625,8173.12890625,9838.5,-7470.85498046875,9711.7578125,-9367.6162109375,-7.199999809265137,-9855.900390625,-8676.6474609375,-9039.671875,0.0,2025-06-10T20:24:32.596277
9552.0,9837.2998046875,9815.7001953125,9864.298828125,-6540.99365234375,-9475.4306640625,-9834.2998046875,9480.3720703125,-22249.59765625,9548.251953125,8083.03564453125,7822.89990234375,9329.2041015625,9849.8994140625,7625.91064453125,-9819.2998046875,8688.8349609375,-8224.462890625,-6.900000095367432,-9644.453125,-9867.2998046875,-9558.087890625,0.0,2025-06-10T20:24:32.599610
-7307.39990234375,-6094.16015625,-6654.7373046875,-6574.1923828125,9037.1591796875,7129.41357421875,6435.4521484375,-3844.862548828125,22921.564453125,-5806.6083984375,-8572.98046875,-8015.02880859375,-7367.10791015625,-6552.5712890625,-8466.62890625,3424.828369140625,-8075.86279296875,8816.12109375,-7.5,5128.26806640625,6709.390625,7264.134765625,0.0,2025-06-10T20:24:32.602943
-9830.400390625,-9837.599609375,-9816.0,-9864.599609375,9834.2998046875,9847.7998046875,9834.0,-6170.15185546875,25833.423828125,-9825.0,-9795.2998046875,-9791.099609375,-9856.5,-9850.2001953125,-9838.7998046875,9819.0,-9841.2001953125,9821.1005859375,-7.199999809265137,9855.599609375,9866.9990234375,9847.4990234375,0.0,2025-06-10T20:24:32.606277
-7851.60009765625,-8581.1806640625,-8242.109375,-9059.3076171875,4760.03271484375,7305.2294921875,7363.1201171875,-4118.93798828125,3807.81689453125,-4527.8115234375,-7249.0244140625,-4293.466796875,-7312.96484375,-8172.52783203125,-4063.9697265625,8174.7587890625,-7264.07177734375,8104.2734375,-6.599999904632568,2593.0087890625,7922.62744140625,7714.931640625,0.0,2025-06-10T20:24:32.609610
8706.2998046875,7655.9033203125,8213.650390625,7063.38818359375,-9834.599609375,-9283.685546875,-8985.86328125,4714.21923828125,-37032.88671875,9824.7001953125,9795.0009765625,9790.80078125,9372.5185546875,8146.07470703125,9838.5,-7482.24169921875,9699.14453125,-9349.931640625,-7.5,-9855.900390625,-8661.5908203125,-9024.6455078125,0.0,2025-06-10T20:24:32.612943
9575.400390625,9837.2998046875,9815.7001953125,9864.298828125,-6571.00634765625,-9486.8505859375,-9834.2998046875,9506.7890625,-22473.5859375,9566.2421875,8111.134765625,7850.9873046875,9344.5439453125,9849.8994140625,7643.025390625,-9819.2998046875,8703.2509765625,-8253.2373046875,-6.900000095367432,-9653.77734375,-9867.2998046875,-9579.42578125,0.0,2025-06-10T20:24:32.616277
-7283.39990234375,-6082.45166015625,-6643.953125,-6580.8154296875,9025.154296875,7120.09716796875,6428.2490234375,-3889.891357421875,22846.90234375,-5781.12255859375,-8554.1474609375,-7998.5947265625,-7356.580078125,-6526.4189453125,-8458.521484375,3299.86962890625,-8066.55224609375,8797.5380859375,-7.199999809265137,5115.6357421875,6681.98828125,7237.98876953125,0.0,2025-06-10T20:24:32.619610
-9830.400390625,-9837.599609375,-9816.0,-9864.599609375,9834.2998046875,9847.7998046875,9834.0,-6227.78857421875,25609.435546875,-9825.0,-9795.2998046875,-9791.099609375,-9856.5,-9850.2001953125,-9838.7998046875,9819.0,-9841.2001953125,9821.1005859375,-6.900000095367432,9855.599609375,9866.9990234375,9847.4990234375,0.0,2025-06-10T20:24:32.622943
-7871.7001953125,-8595.5908203125,-8272.6640625,-9093.927734375,4804.45166015625,7344.2998046875,7405.43701171875,-4130.044921875,3807.81689453125,-4578.4833984375,-7275.330078125,-4348.74462890625,-7338.2314453125,-8225.734375,-4139.333984375,8196.634765625,-7289.599609375,8127.65185546875,-7.5,2629.703857421875,7955.4501953125,7736.8701171875,0.0,2025-06-10T20:24:32.626277
8681.400390625,7623.77978515625,8174.1083984375,7005.587890625,-9834.599609375,-9251.52734375,-8958.8525390625,4675.79443359375,-36958.22265625,9824.7001953125,9795.0009765625,9790.80078125,9353.568359375,8085.65283203125,9838.5,-7460.66650390625,9677.2197265625,-9327.751953125,-6.300000190734863,-9855.900390625,-8625.4560546875,-9001.2041015625,0.0,2025-06-10T20:24:32.629610
9580.5,9837.2998046875,9815.7001953125,9864.298828125,-6615.42529296875,-9503.080078125,-9834.2998046875,9510.9912109375,-22622.912109375,9568.9404296875,8115.31982421875,7838.4375,9342.1376953125,9849.8994140625,7596.4853515625,-9819.2998046875,8718.568359375,-8258.6318359375,-6.599999904632568,-9658.890625,-9867.2998046875,-9586.337890625,0.0,2025-06-10T20:24:32.632943
-7282.2001953125,-6086.3544921875,-6647.24853515625,-6603.0927734375,8997.2421875,7107.77490234375,6430.9501953125,-3862.273681640625,22697.576171875,-5780.52294921875,-8553.5498046875,-8005.46728515625,-7371.9208984375,-6544.455078125,-8503.8603515625,3239.9375,-8052.7373046875,8798.1376953125,-6.900000095367432,5095.1826171875,6685.30029296875,7239.7919921875,0.0,2025-06-10T20:24:32.636277
-9830.400390625,-9837.599609375,-9816.0,-9864.599609375,9834.2998046875,9847.7998046875,9834.0,-6172.853515625,25758.76171875,-9825.0,-9795.2998046875,-9791.099609375,-9856.5,-9850.2001953125,-9838.7998046875,9819.0,-9841.2001953125,9821.1005859375,-7.199999809265137,9855.599609375,9866.9990234375,9847.4990234375,0.0,2025-06-10T20:24:32.639610
-7833.89990234375,-8566.4697265625,-8238.8134765625,-9057.501953125,4805.05224609375,7341.29443359375,7414.740234375,-4077.511474609375,3807.81689453125,-4574.2861328125,-7256.19873046875,-4322.7490234375,-7309.95654296875,-8171.3251953125,-4142.93701171875,8190.64111328125,-7256.86376953125,8112.3662109375,-6.599999904632568,2603.5361328125,7941.5986328125,7721.54296875,0.0,2025-06-10T20:24:32.642943
8708.7001953125,7659.80615234375,8204.962890625,7053.4541015625,-9834.599609375,-9246.71875,-8940.5458984375,4756.24609375,-36734.234375,9824.7001953125,9795.0009765625,9790.80078125,9364.998046875,8140.96435546875,9838.5,-7433.69677734375,9688.33203125,-9332.84765625,-6.900000095367432,-9855.900390625,-8632.0810546875,-9005.111328125,0.0,2025-06-10T20:24:32.646277
9595.7998046875,9837.2998046875,9815.7001953125,9864.298828125,-6584.81201171875,-9516.6044921875,-9834.2998046875,9562.9248046875,-22398.923828125,9583.3330078125,8142.5224609375,7875.18994140625,9368.6083984375,9849.8994140625,7664.04345703125,-9819.2998046875,8731.181640625,-8272.419921875,-6.900000095367432,-9675.7333984375,-9867.2998046875,-9605.572265625,0.0,2025-06-10T20:24:32.649610
-7260.60009765625,-6038.3193359375,-6603.212890625,-6519.70361328125,9012.2490234375,7100.26123046875,6408.14111328125,-3701.670654296875,22921.564453125,-5774.5263671875,-8537.7060546875,-8002.1806640625,-7335.5244140625,-6498.162109375,-8456.419921875,3330.73486328125,-8049.13330078125,8793.0419921875,-6.900000095367432,5093.3779296875,6676.56787109375,7217.85302734375,0.0,2025-06-10T20:24:32.652943
-9830.400390625,-9837.599609375,-9816.0,-9864.599609375,9834.2998046875,9847.7998046875,9834.0,-6066.58544921875,25982.75,-9825.0,-9795.2998046875,-9791.099609375,-9856.5,-9850.2001953125,-9838.7998046875,9819.0,-9841.2001953125,9821.1005859375,-6.599999904632568,9855.599609375,9866.9990234375,9847.4990234375,0.0,2025-06-10T20:24:32.656277
-7894.7998046875,-8615.4052734375,-8280.751953125,-9081.88671875,4830.2626953125,7379.763671875,7439.35009765625,-4080.213134765625,4106.46923828125,-4626.45703125,-7296.2548828125,-4449.1416015625,-7360.18994140625,-8201.0849609375,-4166.35693359375,8233.7919921875,-7326.240234375,8160.92138671875,-6.900000095367432,2702.19140625,7978.63720703125,7771.130859375,0.0,2025-06-10T20:24:32.659610
8649.0,7589.85498046875,8151.6416015625,7008.5986328125,-9834.599609375,-9208.8515625,-8915.6357421875,4776.35888671875,-36883.55859375,9824.7001953125,9795.0009765625,9790.80078125,9318.375,8099.18017578125,9838.5,-7423.80810546875,9634.2724609375,-9281.89453125,-7.199999809265137,-9855.900390625,-8592.9345703125,-8957.326171875,0.0,2025-06-10T20:24:32.662943
9639.2998046875,9837.2998046875,9815.7001953125,9864.298828125,-6662.2451171875,-9558.6796875,-9834.2998046875,9595.345703125,-22548.25,9614.8154296875,8185.26953125,7931.06591796875,9406.2080078125,9849.8994140625,7740.00830078125,-9819.2998046875,8784.0400390625,-8320.375,-6.900000095367432,-9692.5771484375,-9867.2998046875,-9642.837890625,0.0,2025-06-10T20:24:32.666277
